"Game #","Date","Time","Type","Status","Home","Score","Away","Score","Venue","Rink"
"149151766","2026-02-01","10:20:00","Game","Scheduled","Jr. Ducks (1)","--","Saints","--","Great Park Ice & Fivepoint Arena","1"
"149151745","2026-02-01","10:20:00","Game","Scheduled","Jr. Reign","--","OC Hockey (1)","--","Icetown Riverside","RV A"
"149151752","2026-02-01","10:30:00","Game","Scheduled","Heat","--","OC Hockey (2)","--","Valley Center Ice","Glacier"
"149151848","2026-02-01","15:00:00","Game","Scheduled","Avalanche","--","Ice Hawks","--","Aliso Viejo Ice","1"
"149151800","2026-02-01","18:00:00","Game","Scheduled","Jr. Kings","--","Empire HC","--","Paramount Ice Land","NHL"
"149151839","2026-02-08","08:40:00","Game","Scheduled","Jr. Reign","--","Red Wings","--","Icetown Riverside","RV A"
"149151709","2026-02-08","08:45:00","Game","Scheduled","Jr. Ducks (1)","--","Jr. Kings","--","Anaheim ICE","NHL"
"149151775","2026-02-08","09:00:00","Game","Scheduled","Jr. Ducks (2)","--","Surf","--","Lakewood ICE","A"
"149151820","2026-02-08","10:20:00","Game","Scheduled","OC Hockey (1)","--","Mavericks","--","YorbaLinda ICE","YLICE"
"149151758","2026-02-08","10:45:00","Game","Scheduled","Jr. Ducks (3)","--","OC Hockey (2)","--","Lakewood ICE","A"
"149151847","2026-02-08","11:45:00","Game","Scheduled","Jr. Gulls","--","Ice Hawks","--","Poway Ice Arena","Main"
"149151787","2026-02-08","16:45:00","Game","Scheduled","Avalanche","--","Heat","--","Aliso Viejo Ice","1"
"149151724","2026-02-22","07:00:00","Game","Scheduled","Empire HC","--","Jr. Ducks (2)","--","Ontario Center Ice","Main"
"149151711","2026-02-22","07:10:00","Game","Scheduled","Jr. Reign","--","Jr. Ducks (1)","--","Icetown Riverside","RV B"
"149151730","2026-02-22","08:45:00","Game","Scheduled","Heat","--","Jr. Ducks (3)","--","Valley Center Ice","Glacier"
"149151703","2026-02-22","10:10:00","Game","Scheduled","Jr. Gulls","--","Jr. Kings","--","Poway Ice Arena","Main"
"149151743","2026-02-22","10:20:00","Game","Scheduled","OC Hockey (2)","--","OC Hockey (1)","--","YorbaLinda ICE","YLICE"
"149151806","2026-02-22","10:20:00","Game","Scheduled","Surf","--","Avalanche","--","Ice Realm","MAIN"
"149151845","2026-02-22","14:15:00","Game","Scheduled","Saints","--","Red Wings","--","Kroc Center","NHL"
"149151823","2026-02-22","16:20:00","Game","Scheduled","SDIA","--","Mavericks","--","SD Ice Arena","NHL"
"149151792","2026-03-01","07:40:00","Game","Scheduled","Saints","--","Heat","--","UTC La Jolla","NHL"
"149151819","2026-03-01","08:45:00","Game","Scheduled","OC Hockey (2)","--","Mavericks","--","KHS Ice Arena","A"
"149151741","2026-03-01","10:20:00","Game","Scheduled","Jr. Ducks (2)","--","SDIA","--","Great Park Ice & Fivepoint Arena","1"
"149151830","2026-03-01","10:20:00","Game","Scheduled","Jr. Reign","--","Jr. Gulls","--","Icetown Riverside","RV A"
"149151799","2026-03-01","10:30:00","Game","Scheduled","Jr. Ducks (3)","--","Empire HC","--","Anaheim ICE","NHL"
"149151768","2026-03-01","10:30:00","Game","Scheduled","OC Hockey (1)","--","Surf","--","KHS Ice Arena","A"
"149151782","2026-03-01","14:00:00","Game","Scheduled","Jr. Ducks (1)","--","Wave","--","Anaheim ICE","NHL"
"149151706","2026-03-01","14:40:00","Game","Scheduled","Red Wings","--","Jr. Kings","--","Skating Edge Harbor City","main"
